Airline,Airline_id,two_letter,three_letter
LATAM Brasil (JJ/TAM),133,JJ,TAM
Aerolineas Argentinas (AR/ARG),78,AR,ARG
 (/),0,,
Azul Brazilian Airlines (AD/AZU),1112,AD,AZU
Copa Airlines (CM/CMP),194,CM,CMP
Cubana de Aviacion (CU/CUB),211,CU,CUB
United Airlines (UA/UAL),808,UA,UAL
JetBlue Airways (B6/JBU),410,B6,JBU
US Airways (US/AWE),818,US,AWE
Delta Air Lines (DL/DAL),223,DL,DAL
Jetstar Airways (JQ/JST),419,JQ,JST
Tiger Airways Australia (TT/TGW),1169,TT,TGW
Air New Zealand (NZ/ANZ),70,NZ,ANZ
Singapore Airlines (SQ/SIA),703,SQ,SIA
Cathay Pacific (CX/CPA),199,CX,CPA
Air France (AF/AFR),34,AF,AFR
KLM Royal Dutch Airlines (KL/KLM),440,KL,KLM
China Southern Airlines (CZ/CSN),207,CZ,CSN
Air China (CA/CCA),172,CA,CCA
Jetstar Japan (GK/JJP),1612,GK,JJP
Japan Airlines (JL/JAL),406,JL,JAL
China Eastern Airlines (MU/CES),178,MU,CES
Hong Kong Airlines (HX/CRK),202,HX,CRK
Shanghai Airlines (FM/CSH),206,FM,CSH
Xiamen Airlines (MF/CXA),215,MF,CXA
Sociedad Aeronautica de Medellin Consolidada (MM/SAM),675,MM,SAM
Juneyao Airlines (HO/DKH),1368,HO,DKH
Cebu Pacific (5J/CEB),906,5J,CEB
Zest Airways (Z2/RIT),1159,Z2,RIT
AirAsia X (D7/XAX),1128,D7,XAX
American Airlines (AA/AAL),4,AA,AAL
Malaysia Airlines (MH/MAS),507,MH,MAS
Spring Airlines (9C/CQH),1294,9C,CQH
Mesaba Aviation (XJ/MES),517,XJ,MES
Thai AirAsia (FD/AIQ),1077,FD,AIQ
Lion Airlines (JT/LNI),480,JT,LNI
Indonesia AirAsia (QZ/AWQ),1078,QZ,AWQ
NokScoot (XW/NCT),2356,XW,NCT
Thai AirAsia X (XJ/TAX),2047,XJ,TAX
Peach (MM/APJ),1564,MM,APJ
Air Macau (NX/AMU),61,NX,AMU
Shenzhen Airlines (ZH/CSZ),1693,ZH,CSZ
Lucky Air (8L/LKE),1891,8L,LKE
Ruili Airlines (DR/RLH),2283,DR,RLH
S7 Airlines (S7/SBI),680,S7,SBI
British Airways (BA/BAW),113,BA,BAW
Kenya Airways (KQ/KQA),445,KQ,KQA
Dragon Airlines (KA/HDA),349,KA,HDA
Vueling Airlines (VY/VLG),839,VY,VLG
Norwegian Air Shuttle (DY/NAX),552,DY,NAX
Easyjet (U2/EZY),291,U2,EZY
Ryanair (FR/RYR),668,FR,RYR
Lufthansa (LH/DLH),239,LH,DLH
Iceland Express (5W/AEU),1161,5W,AEU
Scoot (TZ/SCO),1621,TZ,SCO
Star Peru (2I/SRU),1181,2I,SRU
Okay Airways (BK/OKA),1814,BK,OKA
Shandong Airlines (SC/CDG),176,SC,CDG
China West Air (PN/CHB),1807,PN,CHB